Time(s), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V)
0.000002,516.875000,-58.562500,-311.531250,412.093750,-306.062500,-509.125000,-0.007812,-1506.375000,0.000000,0.125000,-3.226562,0.140625,0.164062
0.064413,547.750000,-58.343750,-310.968750,412.031250,-306.218750,-516.250000,-0.023438,-1506.375000,0.000000,0.125000,-5.171875,0.164062,0.140625
0.127852,557.843750,-59.000000,-316.562500,411.812500,-306.250000,-516.125000,-0.007812,-1506.375000,0.000000,0.125000,62.859375,0.140625,0.156250
0.190726,557.843750,-57.968750,-316.281250,411.937500,-293.625000,-516.187500,-0.007812,-1506.375000,0.187500,0.117188,-5.226562,0.132812,0.156250
0.253621,557.812500,-57.906250,-316.562500,403.406250,-306.031250,-391.468750,-0.015625,-1506.562500,0.187500,0.140625,-11.312500,0.148438,0.140625
0.316515,519.343750,-57.937500,-311.031250,412.062500,-305.968750,-515.937500,-0.007812,-1506.375000,0.000000,0.125000,-5.203125,0.125000,0.179688
0.379400,557.781250,-58.500000,-316.687500,412.156250,-305.875000,-515.937500,-0.023438,-1506.562500,0.000000,0.125000,22.132812,0.164062,0.164062
0.442331,557.750000,-58.406250,-316.656250,412.187500,-305.218750,-515.937500,-0.015625,-1506.375000,0.000000,0.132812,-3.000000,0.132812,0.164062
0.505554,557.812500,-58.500000,-316.781250,412.250000,-299.187500,-516.031250,-0.007812,-1506.375000,0.000000,0.093750,-0.132812,0.140625,0.156250
0.569975,557.812500,-58.593750,-317.000000,402.625000,-306.031250,-369.250000,-0.015625,-1506.562500,0.187500,0.140625,-7.859375,0.148438,0.148438
0.633500,517.687500,-58.437500,-309.031250,412.031250,-306.187500,-516.187500,-0.007812,-1506.562500,0.187500,0.140625,-5.234375,0.140625,0.171875
0.696413,557.875000,-59.312500,-316.718750,411.968750,-306.281250,-516.187500,-0.015625,-1506.562500,0.187500,0.140625,17.812500,0.148438,0.171875
0.759306,557.750000,-58.218750,-316.500000,412.000000,-305.343750,-516.281250,0.000000,-1506.375000,0.000000,0.164062,-6.976562,0.132812,0.156250
0.822231,557.718750,-58.125000,-316.312500,409.906250,-300.656250,-516.062500,-0.015625,-1506.375000,0.000000,0.125000,-0.335938,0.140625,0.140625
0.885119,550.812500,-58.031250,-315.468750,406.500000,-306.031250,-260.593750,-0.007812,-1506.562500,0.000000,0.140625,-27.109375,0.140625,0.148438
0.948117,557.812500,-58.125000,-316.781250,412.000000,-306.000000,-515.968750,-0.007812,-1506.562500,0.000000,0.125000,-5.257812,0.156250,0.164062
1.011312,557.812500,-59.031250,-316.937500,412.093750,-305.875000,-515.968750,-0.015625,-1506.375000,0.000000,0.125000,51.007812,0.140625,0.148438
1.075717,557.781250,-58.343750,-316.937500,412.187500,-305.843750,-516.031250,-0.015625,-1506.562500,0.000000,0.164062,-5.507812,0.148438,0.164062
1.139205,557.781250,-58.562500,-317.031250,412.218750,-306.062500,-514.875000,-0.007812,-1506.562500,0.000000,0.125000,-1.242188,0.132812,0.164062
1.202099,546.531250,-58.500000,-316.875000,396.781250,-306.093750,-254.875000,-0.007812,-1506.750000,0.000000,0.125000,-25.609375,0.125000,0.164062
1.264979,557.750000,-58.500000,-310.937500,412.000000,-306.156250,-516.156250,-0.007812,-1506.562500,0.187500,0.132812,-5.164062,0.125000,0.156250
1.327930,557.812500,-59.968750,-316.781250,411.875000,-306.281250,-516.125000,-0.015625,-1506.562500,-0.187500,0.117188,86.218750,0.125000,0.156250
1.390805,557.875000,-58.250000,-316.031250,411.906250,-292.812500,-516.187500,-0.015625,-1506.562500,0.000000,0.125000,-5.203125,0.132812,0.156250
1.453748,557.812500,-58.031250,-316.750000,398.968750,-306.125000,-410.812500,-0.015625,-1506.750000,0.187500,0.132812,-30.937500,0.125000,0.156250
1.516857,514.031250,-58.093750,-312.812500,412.031250,-305.968750,-516.031250,-0.031250,-1506.562500,0.000000,0.132812,12.710938,0.148438,0.148438
1.581228,557.781250,-58.562500,-311.625000,412.093750,-305.875000,-516.125000,-0.015625,-1506.562500,0.000000,0.132812,-5.156250,0.148438,0.148438
1.644793,557.781250,-59.250000,-317.031250,411.937500,-306.031250,-516.031250,-0.015625,-1506.562500,-0.187500,0.132812,78.195312,0.132812,0.156250
1.707766,557.812500,-58.531250,-316.531250,412.156250,-289.250000,-516.062500,-0.015625,-1506.750000,0.000000,0.117188,-0.343750,0.140625,0.179688
1.770644,557.843750,-58.500000,-317.125000,398.906250,-306.031250,-406.062500,-0.007812,-1506.562500,0.187500,0.132812,-31.164062,0.140625,0.148438
1.833616,509.031250,-58.562500,-304.750000,412.062500,-306.062500,-516.218750,-0.015625,-1506.750000,0.000000,0.132812,-5.148438,0.125000,0.156250
1.896501,557.781250,-58.812500,-316.937500,411.968750,-306.250000,-516.156250,-0.007812,-1506.562500,0.000000,0.132812,42.953125,0.140625,0.140625
1.959402,557.718750,-58.343750,-316.531250,412.031250,-305.593750,-516.156250,-0.007812,-1506.562500,0.187500,0.117188,-5.257812,0.156250,0.164062
2.022615,557.843750,-58.187500,-315.468750,412.000000,-300.250000,-516.187500,-0.031250,-1506.750000,0.000000,0.132812,-2.593750,0.140625,0.164062
2.087023,557.750000,-58.125000,-316.750000,401.343750,-306.156250,-370.312500,-0.015625,-1506.562500,0.187500,0.132812,-36.984375,0.132812,0.156250
2.150600,519.687500,-58.156250,-308.656250,412.031250,-305.875000,-516.093750,-0.015625,-1506.750000,0.187500,0.140625,-5.156250,0.140625,0.148438
2.213525,557.812500,-60.125000,-316.937500,412.093750,-305.937500,-515.906250,-0.015625,-1506.562500,0.187500,0.117188,41.445312,0.140625,0.148438
2.276412,557.812500,-58.406250,-317.062500,412.062500,-304.562500,-516.031250,-0.031250,-1506.750000,0.000000,0.125000,-5.375000,0.148438,0.164062
2.339308,557.812500,-58.500000,-317.125000,410.875000,-303.750000,-515.906250,-0.015625,-1506.750000,0.000000,0.125000,-1.945312,0.132812,0.171875
2.402205,529.000000,-58.531250,-315.812500,406.968750,-306.093750,-246.156250,-0.015625,-1506.937500,0.000000,0.125000,15.710938,0.140625,0.148438
2.465099,557.718750,-58.406250,-316.968750,411.937500,-306.156250,-516.250000,-0.023438,-1506.750000,0.000000,0.132812,-5.148438,0.132812,0.156250
2.528421,557.781250,-59.281250,-316.937500,411.843750,-306.281250,-516.125000,-0.015625,-1506.562500,0.000000,0.117188,38.835938,0.148438,0.156250
2.592871,557.781250,-58.250000,-316.718750,411.906250,-306.125000,-516.062500,-0.015625,-1506.750000,0.000000,0.132812,25.109375,0.140625,0.148438
2.656435,557.750000,-58.156250,-316.656250,411.937500,-306.218750,-515.843750,-0.007812,-1506.562500,0.187500,0.140625,-0.445312,0.148438,0.148438
2.719343,554.000000,-58.156250,-316.843750,396.218750,-306.093750,-278.781250,-0.015625,-1506.750000,0.000000,0.132812,-45.718750,0.132812,0.148438
2.782226,557.781250,-58.281250,-308.625000,411.968750,-306.031250,-516.000000,-0.023438,-1506.562500,0.000000,0.125000,-5.062500,0.132812,0.164062
2.845110,557.843750,-59.062500,-316.906250,412.000000,-305.968750,-516.125000,-0.007812,-1161.562500,-0.937500,0.429688,-149.484375,0.984375,0.289062
2.908027,525.906250,-32.593750,-300.625000,415.000000,-285.937500,-478.375000,-0.210938,-1318.500000,-0.937500,0.257812,-33.000000,0.390625,-0.343750
2.970931,531.750000,-51.812500,-304.218750,400.906250,-291.093750,-476.375000,-0.296875,-1255.500000,-1.125000,0.132812,-25.367188,0.101562,0.070312
3.034144,533.625000,-9.093750,-309.281250,420.625000,-297.000000,-455.812500,-0.695312,-1320.000000,-0.750000,0.289062,20.898438,0.593750,-0.640625
3.098636,526.187500,-46.812500,-301.812500,401.156250,-291.218750,-471.687500,-0.015625,-1397.812500,-2.437500,0.398438,24.265625,0.500000,0.164062
3.162263,531.437500,-49.500000,-297.625000,402.406250,-289.812500,-443.343750,-0.140625,-1257.750000,0.000000,-0.007812,-105.640625,1.023438,0.046875
3.225185,531.562500,-52.531250,-298.343750,397.875000,-281.937500,-482.750000,-0.156250,-1229.812500,-1.125000,0.148438,-5.859375,0.085938,0.148438
3.288131,532.000000,-50.687500,-309.687500,407.625000,-291.156250,-476.468750,-0.570312,-1320.375000,-1.312500,0.406250,-54.781250,-0.648438,-0.585938
3.351035,531.781250,-45.312500,-281.468750,404.656250,-292.500000,-488.031250,-0.671875,-1292.250000,-1.312500,0.140625,25.750000,0.359375,0.828125
3.413946,532.687500,-43.062500,-289.531250,411.718750,-277.281250,-479.000000,-0.414062,-1356.562500,-0.562500,0.070312,-51.742188,0.656250,0.601562
