Time(s), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V)
0.000002,557.437500,-58.218750,-317.093750,412.187500,-306.281250,-516.281250,0.000000,-1510.687500,0.000000,0.109375,-5.359375,0.117188,0.148438
0.064621,558.000000,-60.187500,-317.531250,412.187500,-306.343750,-516.281250,0.007812,-1510.687500,0.000000,0.117188,10.078125,0.140625,0.156250
0.128464,557.468750,-58.187500,-316.406250,412.125000,-306.437500,-516.343750,0.007812,-1510.687500,0.000000,0.132812,-5.125000,0.148438,0.156250
0.191485,557.312500,-58.187500,-317.500000,412.093750,-294.875000,-516.125000,0.000000,-1510.875000,0.000000,0.117188,1.242188,0.125000,0.140625
0.254458,520.562500,-58.250000,-317.343750,386.937500,-306.281250,-265.937500,0.000000,-1510.875000,0.000000,0.101562,9.218750,0.125000,0.148438
0.317600,550.562500,-58.156250,-267.937500,412.218750,-306.250000,-516.281250,0.000000,-1510.687500,0.000000,0.117188,-5.007812,0.132812,0.156250
0.380677,557.437500,-59.250000,-317.625000,411.968750,-306.406250,-516.437500,0.007812,-1510.500000,0.000000,0.125000,-5.156250,0.140625,0.132812
0.443644,557.343750,-58.250000,-317.062500,412.218750,-277.281250,-516.406250,0.007812,-1510.687500,0.000000,0.117188,-5.132812,0.132812,0.132812
0.506595,557.406250,-58.218750,-317.875000,402.625000,-306.406250,-395.812500,0.000000,-1510.687500,0.000000,0.117188,-6.921875,0.140625,0.156250
0.570022,502.781250,-58.281250,-308.343750,412.125000,-306.375000,-378.375000,0.007812,-1510.687500,0.000000,0.117188,18.593750,0.140625,0.140625
0.633444,557.406250,-58.843750,-317.531250,412.093750,-306.406250,-516.281250,0.015625,-1510.875000,0.187500,0.125000,-7.812500,0.132812,0.156250
0.696492,557.375000,-59.125000,-317.500000,411.968750,-306.375000,-516.343750,0.000000,-1510.687500,0.000000,0.117188,-10.437500,0.140625,0.179688
0.759517,557.468750,-58.187500,-316.250000,412.093750,-272.250000,-516.437500,-0.007812,-1510.687500,0.000000,0.117188,-2.781250,0.140625,0.156250
0.822855,557.406250,-58.187500,-317.531250,400.718750,-306.375000,-513.968750,0.007812,-1510.687500,0.000000,0.125000,-1.031250,0.132812,0.156250
0.887406,523.375000,-58.250000,-316.500000,391.343750,-306.343750,-239.156250,0.000000,-1510.687500,0.000000,0.125000,6.171875,0.132812,0.179688
0.951280,546.187500,-58.187500,-292.750000,412.218750,-306.250000,-516.343750,0.000000,-1510.875000,0.000000,0.101562,-5.218750,0.171875,0.148438
1.014301,557.406250,-59.968750,-317.468750,411.968750,-306.312500,-516.312500,0.015625,-1510.875000,0.000000,0.117188,-8.523438,0.132812,0.148438
1.077312,557.343750,-58.250000,-316.781250,412.125000,-296.593750,-516.343750,0.000000,-1510.687500,0.000000,0.101562,-5.062500,0.148438,0.171875
1.140375,557.343750,-58.187500,-317.562500,397.031250,-304.093750,-504.781250,0.000000,-1510.875000,0.000000,0.117188,-6.328125,0.140625,0.148438
